id,en,jp,trans
57,,え、ええと……<br>たんびえし、ですか……？, 那、那個……<br>耽美畫師、嗎……？
58,,…………, …………
59,,書物に出て來る架空の騎士とか……<br>噂で聞いた遠い國の王子様とか……<br>そういうので、空想したことない？, 書本裡的虛構騎士啊……<br>傳聞說的遙遠國度的王子之類的……<br>有沒有想像過、這些事情？
60,,その個人的な空想を、<br>絵と文で表現したのが「絵物語」……, 把這種個人的想像、<br>用畫和文字表達出來的「圖畫本」……
61,,特に男性の……は……<br>「耽美絵物語」と呼ばれてて……, 專門描寫男性……間的……<br>就叫作「耽美圖畫本」……
62,,ふーん。<br>それを描いてんのが耽美絵師かぁ。<br>……世の中には色々あんだな。, 嗯。<br>專門畫這些的就是耽美畫師。<br>……這世上真是什麼都有的呢。
63,,何よ、遠い目しちゃって。<br>……ふん、議論する気はないけど。, 什麼啊、你這個眼神。<br>……哼、算了我也不想和你議論了。
64,,まぁまぁ……<br>でも、今まで見たことありません……<br>お店で売ってる物なんですか？, 好了好了……<br>不過、這些我都是今天第一次見到的啊……<br>這些有放在店裡賣的嗎？
65,,ううん……<br>特殊な趣向だし、個人的に作って、<br>近場の書店に置いてもらってるの。, 沒有……<br>因為是特殊的興趣、而且只是個人製作、<br>所以我只在附近的書店寄賣。
66,,……一冊も売れたことないけれど。, ……雖然一本也沒有賣過出去。
67,,そりゃあ、そうだろ。<br>耽美って、キレイって意味だろ？<br>ルナールのはコワイんだよ。, 這也是、當然的吧。<br>耽美、就是美麗的意思吧？<br>露娜露你的畫我只覺得恐怖。
68,,ク、クセなんだもん！<br>絵柄と趣味が一致しないのよ！, 這、是職業病啊！<br>畫風和興趣不合啊！
69,,わかってるもん……<br>向いてないってことは……, 我自己也知道啊……<br>我不適合畫這些……
70,,そんな……, 怎會這樣……
71,,はぁ……<br>このまま一生……<br>魔物を描いて生活するのかな……, 哈……<br>我會不會就這樣……<br>一生都過著以畫魔物維生的生活啊……
72,,う～ん……<br>そんなに悩んでんのかよ。<br>なんか上達する方法とかねぇのか？, 嗯……<br>你都這樣苦惱了。<br>有沒有什麼能進步的方法啊？
73,,……上達の基本は、模寫よ。<br>優れた作品を勉強して吸収するの。, ……進步的基本是、臨摹啊。<br>學習優秀的作品然後吸收他的優點。
74,,でも耽美モノは概ね、個人販売。<br>その絵師の住む島にしか売ってないわ。<br>……そもそも入手できないのよ。, 不過耽美本大多是、個人販賣。<br>只在畫師自己居住的島上賣的。<br>……所以基本上沒有方法買到。
75,,うーん……<br>勉強に必要なのに……, 嗯……<br>但卻是學習必要的……
76,,そうだ！<br>だったら私達と旅しませんか？<br>優れた絵物語を集めるんです！, 對了！<br>這樣的話你要不要和我們一起旅行啊？<br>可以收集優秀的圖畫本哦！
77,,え……？<br>あなた達と……？<br>で、でも、いいの？, 欸……？<br>和你們一起……？<br>不、不過、可以嗎？
77-sel1_txt,,<span class='scene-font-katari'>いいよ</span>,<span class='scene-font-katari'>可以啊</span>
77-sel2_txt,,<span class='scene-font-katari'>上達したら見せて</span>,<span class='scene-font-katari'>有進步要給我看</span>
78,,あ、ありがとう……<br>変わってるわね、あなた達……, 謝、謝謝你們……<br>真是群怪人呢、你們……
79,,ええっ……！？<br>それは、まぁ、考えさせて……, 欸欸……！？<br>這、嗯、讓我考慮一下……
80,,へへっ！<br>でも、あんまり団員には見せんなよ。<br>刺激が強すぎるぜ。, 哈哈！<br>不過、不要讓其他團員看太多啊。<br>這太過激了。
81,,すごい……<br>耽美モノが集められるなんて……, 厲害……<br>我沒想過我可以去收集耽美本的……
82,,これは夢……？<br>なら一生、醒めないで……, 我在做夢嗎……？<br>那我就一生、都不要醒好了……
83,,嗚呼……！<br>封印されし邪眼が疼いてきたわ！, 嗚呼……！<br>被封印的邪眼開始隱隱作痛了！
84,,大丈夫ですか？<br>目が痛むなら、お醫者さんに……, 你沒事吧？<br>眼睛痛的話、要去找醫生……
85,,うああっ！？<br>あ……ぅ……<br>封印されし……<span class='scene-font-1'>ドライアイ</span>……は平気よ。, 呃啊啊！？<br>啊……嗯……<br>被封印的……<span class='scene-font-1'>乾眼症</span>……沒事的
86,,<span class='scene-font-katari'>こうしてルナールは、</span><br><span class='scene-font-katari'>耽美絵物語を集めて勉強するため、</span><br><span class='scene-font-katari'>一行の仲間に加わった。</span>,<span class='scene-font-katari'>就這樣露娜露、</span><br><span class='scene-font-katari'>為了收集和學習耽美圖畫本、</span><br><span class='scene-font-katari'>加入騎空團了。</span>
87,,<span class='scene-font-katari'>果てなき旅路の中で、</span><br><span class='scene-font-katari'>彼女の空想は空より広がるのであった。</span>,<span class='scene-font-katari'>在這沒有終點的旅途中、</span><br><span class='scene-font-katari'>她的妄想會變得比這個天空還要廣大。<br><br><br>　　　　　　　　　翻譯:mirror0420</span>
info,,1,scene_fate_chr238_ep1
